Study_ID,Cohort_ID,Shared_control_ID,Data_source,Data_location,Bird_species_Latin_binomial_name,Bird_species_English_common_name,Prey_species_Latin_binomial_name,Prey_English_common_name,Detail_response,Response,Measure,Observed_responses_category,Note__behavioural_responses,Treatment_stimulus,Number_pattern,Diameter_pattern,Area_pattern,Shape_pattern,Control_stimulus,Note_stimulus,Type_of_prey,Note__prey,Diet_of_bird,Bird_sex,Bird_age,Tn,Cn,T_mean,C_mean,T_proportion,C_proportion,T_sd,C_sd,T_mean_rev,C_mean_rev,Study_design,Mean_median,T_mean_median,C_mean_median,Type_of_variance_statistic,Treatment_variance,Control_variance,Type_of_effect_size,effect_size,Note
Blest_1957,Blest_1957_1,Blest_1957_a,table. 6,p.230,Emberiza_sulphurata,yellow bunting,Inachis_io,peacock butterfly,number of escape response ,continuous,latency,defensive,total number of day 1 to day 5,eyespot,4,9.91,,eyespot,no pattern,,real,butterfly,grainivore,NA,NA,6,6,21.3,5.16667,NA,NA,17.4776,5.49242,-21.3,-5.16667,dependent,mean,21.3,5.16667,SD,17.4776,5.49242,,,Calculated by AM
Jones_1980,Jones_1980_1,Jones_1980_a,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,latency to first step ,continuous,latency,defensive,,eyespot,1,25.00,,eyespot,no pattern,,artificial,prey that does not imitate a specific species,omnivore,male,chick,15,15,35.7,11.6,NA,NA,39.1171318,4.260281681,-35.7,-11.6,independent,mean,35.7,11.6,SEM,10.1,1.1,,,
Jones_1980,Jones_1980_1,Jones_1980_a,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,latency to first step ,continuous,latency,defensive,,eyespot,2,25.00,,eyespot,no pattern,,artificial,prey that does not imitate a specific species,omnivore,male,chick,15,15,39.9,11.6,NA,NA,32.14576177,4.260281681,-39.9,-11.6,independent,mean,39.9,11.6,SEM,8.3,1.1,,,
Jones_1980,Jones_1980_1,Jones_1980_a,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,duration of freezing ,continuous,latency,defensive,,eyespot,1,25.00,,eyespot,no pattern,,artificial,prey that does not imitate a specific species,omnivore,male,chick,15,15,11.6,3.6,NA,NA,9.682458366,2.323790008,-11.6,-3.6,independent,mean,11.6,3.6,SEM,2.5,0.6,,,
Jones_1980,Jones_1980_1,Jones_1980_a,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,duration of freezing ,continuous,latency,defensive,,eyespot,2,25.00,,eyespot,no pattern,,artificial,prey that does not imitate a specific species,omnivore,male,chick,15,15,25.4,3.6,NA,NA,21.3014084,2.323790008,-25.4,-3.6,independent,mean,25.4,3.6,SEM,5.5,0.6,,,
Jones_1980,Jones_1980_1,Jones_1980_a,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,duration of sitting ,continuous,latency,general,,eyespot,1,25.00,,eyespot,no pattern,,artificial,prey that does not imitate a specific species,omnivore,male,chick,15,15,16.1,9.3,NA,NA,23.62519841,12.78084504,-16.1,-9.3,independent,mean,16.1,9.3,SEM,6.1,3.3,,,
Jones_1980,Jones_1980_1,Jones_1980_a,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,duration of sitting ,continuous,latency,general,,eyespot,2,25.00,,eyespot,no pattern,,artificial,prey that does not imitate a specific species,omnivore,male,chick,15,15,84.9,9.3,NA,NA,65.45341855,12.78084504,-84.9,-9.3,independent,mean,84.9,9.3,SEM,16.9,3.3,,,
Jones_1980,Jones_1980_1,Jones_1980_a,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,duration of lying ,continuous,latency,general,,eyespot,1,25.00,,eyespot,no pattern,,artificial,prey that does not imitate a specific species,omnivore,male,chick,15,15,7.7,0.7,NA,NA,18.59032006,2.711088342,-7.7,-0.7,independent,mean,7.7,0.7,SEM,4.8,0.7,,,Mann-Whitney U test; n.s.
Jones_1980,Jones_1980_1,Jones_1980_a,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,duration of lying ,continuous,latency,general,,eyespot,2,25.00,,eyespot,no pattern,,artificial,prey that does not imitate a specific species,omnivore,male,chick,15,15,45.2,0.7,NA,NA,74.74857858,2.711088342,-45.2,-0.7,independent,mean,45.2,0.7,SEM,19.3,0.7,,,Mann-Whitney U test; p < 0.002
Jones_1980,Jones_1980_1,Jones_1980_a,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,time of eye closure ,continuous,latency,general,,eyespot,1,25.00,,eyespot,no pattern,,artificial,prey that does not imitate a specific species,omnivore,male,chick,15,15,10.1,0.8,NA,NA,19.36491673,0.774596669,-10.1,-0.8,independent,mean,10.1,0.8,SEM,5,0.2,,,Mann-Whitney U test; n.s.
