Study_ID,Cohort_ID,Shared_control_ID,Data_source,Data_location,Bird_species_Latin_binomial_name,Bird_species_English_common_name,Prey_species_Latin_binomial_name,Prey_English_common_name,Response,Observed_probability_behaviour,Treatment_stimulus,Number_eyespot,Diameter_pattern,Area_pattern,Shape_pattern,Note_probabiliy,Control_stimulus,Note_stimulus,Type_of_prey,Note__prey,Tn,Cn,T_proportion,C_proportion,T_mean,C_mean,T_sd,C_sd,Study_design,Type_of_variance_statistic,Mean_median,Treatment_mean,T_variance,T_variance_q1,T_variance_q3,C_mean,Cl_SE,C_variance_q1,C_variance_q3,Note
Vallin_2005,Vallin_2005_1,Vallin_2005_a,table. 1,p.1205,Parus_caeruleus,blue tit,Inachis_io,peacock butterfly,proportion1,survival,eyespot,4,9.91,,eyespot,AM culculated the survival rate from raw data,no pattern,no sound (wings cut to remove sound production) vs. no eyespots or sound (eyespots painted over and sound production removed),real,butterfly,8,10,1,0.2,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Vallin_2005,Vallin_2005_2,Vallin_2005_a,table. 1,p.1205,Parus_caeruleus,blue tit,Inachis_io,peacock butterfly,proportion1,survival,eyespot,4,9.91,,eyespot,AM culculated the survival rate from raw data,no pattern,no eyespots (eyespots painted over); eyespots (instead painted at the bases of the wings),real,butterfly,9,10,1,0.5,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens_2007,Stevens_2007_1,Stevens_2007_a,fig. 6,p.1221,none,none,none,none,proportion1,survival,conspicuous,NA,7.00,,circle,,no pattern,black highly contrasting spots; 7.00mm,artificial,prey that does not imitate a specific species,50,50,0.184211,0,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens_2007,Stevens_2007_2,Stevens_2007_a,fig. 6,p.1221,none,none,none,none,proportion1,survival,conspicuous,NA,7.00,,circle,,no pattern,white highly contrast-ing spots; 7.00mm,artificial,prey that does not imitate a specific species,50,50,0.318421,0,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens_2007,Stevens_2007_3,Stevens_2007_b,fig. 7,p.1222,none,none,none,none,proportion1,survival,eyespot,2,7.00,,eyespot,,no pattern,a pair of concentric circles of equal area with a black centre and white surround,artificial,prey that does not imitate a specific species,80,80,0.333747,0.138958,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens_2007,Stevens_2007_4,Stevens_2007_b,fig. 7,p.1222,none,none,none,none,proportion1,survival,eyespot,2,7.00,,eyespot,,no pattern,a pair of concentric circles of equal width with a black centre and white surround,artificial,prey that does not imitate a specific species,80,80,0.497519,0.138958,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens_2007,Stevens_2007_5,Stevens_2007_b,fig. 7,p.1222,none,none,none,none,proportion1,survival,conspicuous,NA,7.00,,donut,,no pattern,a pair of concentric circles of equal area with a white centre and black surround; 7.00mm ,artificial,prey that does not imitate a specific species,80,80,0.353598,0.138958,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens_2007,Stevens_2007_6,Stevens_2007_b,fig. 7,p.1222,none,none,none,none,proportion1,survival,conspicuous,NA,7.00,,donut,,no pattern,a pair of concentric circles of equal width with a white centre and blacksurround; 7.00mm ,artificial,prey that does not imitate a specific species,80,80,0.472705,0.138958,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens_2007,Stevens_2007_7,Stevens_2007_b,fig. 7,p.1222,none,none,none,none,proportion1,survival,conspicuous,NA,7.00,,circle,,no pattern,semi circle; a pair of asymmetrical semi circles with a horizontal divide; 7.00mm ,artificial,prey that does not imitate a specific species,80,80,0.162531,0.138958,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens_2007,Stevens_2007_8,Stevens_2007_b,fig. 7,p.1222,none,none,none,none,proportion1,survival,conspicuous,NA,7.00,,circle,,no pattern,semi circle; a pair of symmetrical semicircles with a horizontaldivide; 7.00mm ,artificial,prey that does not imitate a specific species,80,80,0.152605,0.138958,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens_2007,Stevens_2007_9,Stevens_2007_b,fig. 7,p.1222,none,none,none,none,proportion1,survival,conspicuous,NA,7.00,,circle,,no pattern,semi circle; a pair of asymmetrical semi circles with a vertical divide; 7.00mm ,artificial,prey that does not imitate a specific species,80,80,0.229529,0.138958,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens_2007,Stevens_2007_10,Stevens_2007_b,fig. 7,p.1222,none,none,none,none,proportion1,survival,conspicuous,NA,7.00,,circle,,no pattern,semi circle; a pair of symmetrical semicircles with a vertical divide; 7.00mm ,artificial,prey that does not imitate a specific species,80,80,0.246898,0.138958,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens_2007,Stevens_2007_11,Stevens_2007_c,fig. 9,p.1223,none,none,none,none,proportion1,survival,eyespot,2,7.00,,eyespot,,no pattern,,artificial,prey that does not imitate a specific species,100,100,0.351245,0.231979,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens_2007,Stevens_2007_12,Stevens_2007_c,fig. 9,p.1223,none,none,none,none,proportion1,survival,conspicuous,NA,7.00,,diamond,,no pattern,7.00mm in width,artificial,prey that does not imitate a specific species,100,100,0.23329,0.231979,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens_2007,Stevens_2007_13,Stevens_2007_c,fig. 9,p.1223,none,none,none,none,proportion1,survival,conspicuous,NA,7.00,,diamond,,no pattern,inverted diamond: 7.00mm in width,artificial,prey that does not imitate a specific species,100,100,0.104849,0.231979,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens_2007,Stevens_2007_14,Stevens_2007_c,fig. 9,p.1223,none,none,none,none,proportion1,survival,conspicuous,NA,7.00,,circle,,no pattern,inverted circle; 7.00mm in diameter,artificial,prey that does not imitate a specific species,100,100,0.1795,0.231979,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens_2007,Stevens_2007_15,Stevens_2007_d,fig. 10,p.1223,none,none,none,none,proportion1,survival,eyespot,2,7.00,,eyespot,,no pattern,,artificial,prey that does not imitate a specific species,100,100,0.570302,0.213666,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens_2007,Stevens_2007_16,Stevens_2007_d,fig. 10,p.1223,none,none,none,none,proportion1,survival,conspicuous,NA,7.00,,diamond,,no pattern,dounut diamond; 7.00mm in width,artificial,prey that does not imitate a specific species,100,100,0.570302,0.213666,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens_2007,Stevens_2007_17,Stevens_2007_d,fig. 10,p.1223,none,none,none,none,proportion1,survival,conspicuous,NA,7.00,,diamond,,no pattern,dounut diamond black; 7.00mm in width,artificial,prey that does not imitate a specific species,100,100,0.419185,0.213666,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens_2007,Stevens_2007_18,Stevens_2007_d,fig. 10,p.1223,none,none,none,none,proportion1,survival,conspicuous,NA,7.00,,circle,,no pattern,black; 7.00mm in diameter,artificial,prey that does not imitate a specific species,100,100,0.37293,0.213666,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens_2007,Stevens_2007_19,Stevens_2007_d,fig. 10,p.1223,none,none,none,none,proportion1,survival,conspicuous,NA,7.00,,diamond,,no pattern,white; 7.00mm in width,artificial,prey that does not imitate a specific species,100,100,0.246781,0.213666,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens_2007,Stevens_2007_20,Stevens_2007_d,fig. 10,p.1223,none,none,none,none,proportion1,survival,conspicuous,NA,7.00,,circle,,no pattern,white; 7.00mm in diameter,artificial,prey that does not imitate a specific species,100,100,0.316163,0.213666,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
